Player Name,List_Year,Rk,R,Rookie_Year,Rookie_IP,Rookie_WAR,Rookie_FIP,Year2,Y2_IP,Y2_WAR,Y2_FIP,Year3,Y3_IP,Y3_WAR,Y3_FIP,Team Name,Team Rank,Pos,Pos2,Wt,Bats,Throws,Born Date,Place Of Birth,DraftYear,Round,Pick,Team,HiLvl,LastMLBSeasonToDate,BATop100,BATeam,BPTop100,FGTop100,MLBPipelineTop100,MLBPipelineTeam,Made_MLB
Braxton Garrett,2017,76,2020,2020,,,,2021,,,,2022,,,,Miami Marlins,1,P,P,190,B,L,8/5/97,"Foley,AL",2016,1,7,MIA,MLB,2020,76,1,43,1,NA,NA,1
Tyler Chatwood,2011,76,2011,2011,,,,2012,,,,2013,,,,Los Angeles Angels,2,P,P,175,R,R,12/16/89,"Redlands,CA",2008,2,74,ANA,MLB,2020,76,2,NA,NA,NA,NA,1
Michael Wacha,2013,76,2013,2013,,,,2014,,,,2015,,,,St. Louis Cardinals,6,P,P,195,R,R,7/1/91,"Iowa City,IA",2012,1,19,SLN,MLB,2020,76,6,NA,NA,NA,NA,1
Lance McCullers,2014,77,2015,2015,,,,2016,,,,2017,,,,Houston Astros,5,P,P,190,L,R,10/2/93,"Tampa,FL",2012,1,41,HOU,MLB,2020,77,5,NA,NA,NA,NA,1
Braden Shipley,2016,77,2016,2016,,,,2017,,,,2018,,,,Arizona Diamondbacks,1,P,P,170,R,R,2/22/92,"Medford,OR",2013,1,15,ARI,MLB,2018,77,1,67,1,NA,NA,1
Eddie Butler,2015,77,2014,2015,,,,2016,,,,2017,,,,Colorado Rockies,4,P,P,165,B,R,3/13/91,"Chesapeake,VA",2012,1,46,COL,MLB,2018,77,4,NA,NA,NA,NA,1
Andrew Brackman,2011,78,2011,2011,,,,2012,,,,2013,,,,New York Yankees,5,P,P,230,R,R,12/4/85,"Cincinnati,OH",2007,1,30,NYA,MLB,2011,78,5,NA,NA,NA,NA,1
Sean Newcomb,2017,78,2017,2017,,,,2018,,,,2019,,,,Atlanta Braves,8,P,P,255,L,L,6/12/93,"Brockton,MA",2014,1,15,ANA,MLB,2020,78,8,80,6,NA,NA,1
Luis Ortiz,2017,79,2018,2018,,,,2019,,,,2020,,,,Milwaukee Brewers,3,P,P,230,R,R,9/22/95,"Sanger,CA",2014,1,30,TEX,MLB,2019,79,3,62,4,NA,NA,1
Amir Garrett,2017,81,2017,2017,,,,2018,,,,2019,,,,Cincinnati Reds,3,P,P,210,R,L,5/3/92,"Henderson,NV",2011,22,685,CIN,MLB,2020,81,3,66,2,NA,NA,1
Martin Perez,2013,81,2012,2013,,,,2014,,,,2015,,,,Texas Rangers,3,P,P,200,L,L,4/4/91,"Guanare estado Portuguesa,VZ",2007,0,0,TEX,MLB,2020,81,3,NA,NA,NA,NA,1
Brian Johnson,2015,82,2015,2015,,,,2016,,,,2017,,,,Boston Red Sox,5,P,P,225,L,L,12/7/90,"Lakeland,FL",2012,1,31,BOS,MLB,2019,82,5,NA,NA,NA,NA,1
Tony Cingrani,2013,82,2012,2013,,,,2014,,,,2015,,,,Cincinnati Reds,3,P,P,205,L,L,7/5/89,"Evergreen Park,IL",2011,3,114,CIN,MLB,2018,82,3,NA,NA,NA,NA,1
Chris Dwyer,2011,83,2013,2013,,,,2014,,,,2015,,,,Kansas City Royals,8,P,P,210,R,L,4/10/88,"Boston,MA",2009,4,122,KCA,MLB,2013,83,8,NA,NA,NA,NA,1
Joe Musgrove,2016,83,2016,2016,,,,2017,,,,2018,,,,Houston Astros,6,P,P,230,R,R,12/4/92,"El Cajon,CA",2011,1,46,TOR,MLB,2020,83,6,8,NA,NA,NA,1
Garrett Richards,2012,83,2011,2012,,,,2013,,,,2014,,,,Los Angeles Angels,3,P,P,200,R,R,5/27/88,"Riverside,CA",2009,1,42,ANA,MLB,2020,83,3,NA,NA,NA,NA,1
Arodys Vizcaino,2013,83,2011,2013,,,,2014,,,,2015,,,,Chicago Cubs,4,P,P,189,R,R,11/13/90,"Yaguate,DR",2007,0,0,NYA,MLB,2019,83,4,NA,NA,NA,NA,1
Trevor Bauer,2014,83,2012,2014,,,,2015,,,,2016,,,,Cleveland Indians,3,P,P,175,R,R,1/17/91,"North Hollywood,CA",2011,1,3,ARI,MLB,2020,83,3,NA,NA,NA,NA,1
Tanner Scheppers,2011,84,2012,2012,,,,2013,,,,2014,,,,Texas Rangers,3,P,P,195,R,R,1/17/87,"Mission Viejo,CA",2009,1,44,TEX,MLB,2017,84,3,NA,NA,NA,NA,1
Jharel Cotton,2017,84,2016,2017,,,,2018,,,,2019,,,,Oakland Athletics,4,P,P,180,R,R,1/19/92,"St. Thomas,VG",2012,20,626,LAN,MLB,2017,84,4,6,NA,NA,NA,1
Kyle Zimmer,2016,85,2019,2019,,,,2020,,,,2021,,,,Kansas City Royals,2,P,P,185,R,R,9/13/91,"La Jolla,CA",2012,1,5,KCA,MLB,2020,85,2,65,2,NA,NA,1
Justin Nicolino,2013,86,2015,2015,,,,2016,,,,2017,,,,Miami Marlins,6,P,P,195,L,L,11/22/91,"Orlando,FL",2010,2,80,TOR,MLB,2017,86,6,NA,NA,NA,NA,1
Chad Bettis,2012,86,2013,2013,,,,2014,,,,2015,,,,Colorado Rockies,3,P,P,180,R,R,4/26/89,"Lubbock,TX",2010,2,76,COL,MLB,2019,86,3,NA,NA,NA,NA,1
Craig Kimbrel,2011,86,2010,2011,,,,2012,,,,2013,,,,Atlanta Braves,5,P,P,205,R,R,5/28/88,"Huntsville,AL",2008,3,96,ATL,MLB,2020,86,5,NA,NA,NA,NA,1
Pierce Johnson,2014,87,2017,2017,,,,2018,,,,2019,,,,Chicago Cubs,6,P,P,202,R,R,5/10/91,"Denver,CO",2012,1,43,CHN,MLB,2020,87,6,NA,NA,NA,NA,1
James Kaprielian,2017,87,2020,2020,,,,2021,,,,2022,,,,New York Yankees,5,P,P,190,R,R,3/2/94,"Laguna Hills,CA",2015,1,16,NYA,MLB,2020,87,5,58,6,NA,NA,1
Andy Oliver,2011,87,2010,2011,,,,2012,,,,2013,,,,Detroit Tigers,3,P,P,205,L,L,12/3/87,"Vermillon,OH",2009,2,58,DET,MLB,2011,87,3,NA,NA,NA,NA,1
Anthony Banda,2017,88,2017,2017,,,,2018,,,,2019,,,,Arizona Diamondbacks,1,P,P,175,L,L,8/10/93,"Sinton,TX",2012,10,335,MIL,MLB,2020,88,1,1,NA,NA,NA,1
Allen Webster,2014,88,2013,2014,,,,2015,,,,2016,,,,Boston Red Sox,4,P,P,165,R,R,2/10/90,"Madison,NC",2008,18,547,LAN,MLB,2019,88,4,NA,NA,NA,NA,1
Tyler Beede,2017,89,2018,2018,,,,2019,,,,2020,,,,San Francisco Giants,1,P,P,200,R,R,5/23/93,"Auburn,MA",2014,1,14,SFN,MLB,2019,89,1,88,1,NA,NA,1
Chi Chi Gonzalez,2015,89,2015,2015,,,,2016,,,,2017,,,,Texas Rangers,6,P,P,190,R,R,1/15/92,"Delray Beach,FL",2013,1,23,TEX,MLB,2020,89,6,NA,NA,NA,NA,1
Touki Toussaint,2016,90,2018,2018,,,,2019,,,,2020,,,,Atlanta Braves,7,P,P,215,R,R,6/20/96,"Coral Springs,FL",2014,1,16,ARI,MLB,2020,90,7,6,NA,NA,NA,1
Rubby De La Rosa,2011,90,2011,2011,,,,2012,,,,2013,,,,Los Angeles Dodgers,3,P,P,170,R,R,3/4/89,"Santo Domingo,DR",2007,0,0,LAN,MLB,2017,90,3,NA,NA,NA,NA,1
AJ Cole,2015,91,2015,2015,,,,2016,,,,2017,,,,Washington Nationals,6,P,P,200,R,R,1/5/92,"Winter Springs,FL",2010,4,116,WAS,MLB,2020,91,6,NA,NA,NA,NA,1
Drew Storen,2010,92,2010,2010,,,,2011,,,,2012,,,,Washington Nationals,3,P,P,180,B,R,8/11/87,"Indianapolis,IN",2009,1,10,WAS,MLB,2017,92,3,NA,NA,NA,NA,1
Phillippe Aumont,2010,93,2012,2012,,,,2013,,,,2014,,,,Philadelphia Phillies,---,P,P,220,L,R,1/7/89,"Gatineau,QC",2007,1,11,SEA,MLB,2015,93,NA,NA,NA,NA,NA,1
J.R. Graham,2013,93,2015,2015,,,,2016,,,,2017,,,,Atlanta Braves,2,P,P,170,R,R,1/14/90,"Sacramento,CA",2011,4,146,ATL,MLB,2016,93,2,NA,NA,NA,NA,1
Tyrell Jenkins,2012,94,2016,2016,52,-0.9,6.86,2017,,,,2018,,,,St. Louis Cardinals,6,P,P,180,R,R,7/20/92,"Henderson,TX",2010,1,50,SLN,MLB,2016,94,6,NA,NA,NA,NA,1
Daniel Corcino,2013,94,2014,2014,,,,2015,,,,2016,,,,Cincinnati Reds,4,P,P,165,R,R,8/26/90,"Azua,DR",2008,0,0,CIN,MLB,2018,94,4,NA,NA,NA,NA,1
Deck McGuire,2011,95,2017,2017,13.2,0.3,3.16,2018,38,-0.8,6.95,2019,,,,Toronto Blue Jays,2,P,P,235,R,R,6/23/89,"Richmond,VA",2010,1,11,TOR,MLB,2018,95,2,NA,NA,NA,NA,1
Zach Lee,2014,95,2015,2015,,,,2016,,,,2017,,,,Los Angeles Dodgers,4,P,P,195,R,R,9/13/91,"McKinney,TX",2010,1,28,LAN,MLB,2017,95,4,NA,NA,NA,NA,1
Andrew Cashner,2010,95,2010,2010,,,,2011,,,,2012,,,,Chicago Cubs,4,P,P,185,R,R,9/11/86,"Montgomery,TX",2008,1,19,CHN,MLB,2019,95,4,NA,NA,NA,NA,1
Bruce Rondon,2013,95,2013,2013,,,,2014,,,,2015,,,,Detroit Tigers,3,P,P,190,R,R,12/9/90,"Valencia,VZ",2007,0,0,DET,MLB,2018,95,3,NA,NA,NA,NA,1
Joe Ross,2015,96,2015,2015,,,,2016,,,,2017,,,,Washington Nationals,---,P,P,185,R,R,5/21/93,"Oakland,CA",2011,1,25,SDN,MLB,2019,96,NA,NA,NA,NA,NA,1
Nathan Eovaldi,2012,96,2011,2012,,,,2013,,,,2014,,,,Los Angeles Dodgers,3,P,P,217,R,R,2/13/90,"Alvin,TX",2008,11,337,LAN,MLB,2020,96,3,NA,NA,NA,NA,1
Jimmy Nelson,2014,96,2013,2014,,,,2015,,,,2016,,,,Milwaukee Brewers,1,P,P,225,R,R,6/5/89,"Klamath Falls,OR",2010,2,64,MIL,MLB,2019,96,1,NA,NA,NA,NA,1
Dylan Cease,2017,97,2019,2019,,,,2020,,,,2021,,,,Chicago Cubs,4,P,P,175,R,R,12/28/95,"Milton,GA",2014,6,169,CHN,MLB,2020,97,4,77,4,NA,NA,1
Jay Jackson,2010,98,2015,2015,4.1,0.1,1.98,2016,,,,2017,,,,Chicago Cubs,5,P,P,195,R,R,10/27/87,"Greenville,SC",2008,9,281,CHN,MLB,2019,98,5,NA,NA,NA,NA,1
Jake Arrieta,2010,99,2010,2010,,,,2011,,,,2012,,,,Baltimore Orioles,4,P,P,225,R,R,3/6/86,"Plano,TX",2007,5,159,BAL,MLB,2020,99,4,NA,NA,NA,NA,1
James Paxton,2014,99,2013,2014,,,,2015,,,,2016,,,,Seattle Mariners,3,P,P,200,L,L,11/6/88,"Richmond,BC",2010,4,132,SEA,MLB,2020,99,3,NA,NA,NA,NA,1
Justin Dunn,2017,100,2019,2019,,,,2020,,,,2021,,,,New York Mets,3,P,P,170,R,R,9/22/95,"Freeport,NY",2016,1,19,NYN,MLB,2020,100,3,3,NA,NA,NA,1
Anderson Espinoza,2017,21,,,,,,1,,,,2,,,,San Diego Padres,1,P,P,160,R,R,3/9/98,"Caracas,VZ",2014,0,0,BOS,A,NA,21,1,25,2,NA,NA,0
Yadier Alvarez,2017,26,,,,,,1,,,,2,,,,Los Angeles Dodgers,2,P,P,175,R,R,3/7/96,"Matanzas,CU",2015,0,0,LAN,AA,NA,26,2,49,2,NA,NA,0
Mark Appel,2015,31,,,,,,1,,,,2,,,,Houston Astros,2,P,P,195,R,R,7/15/91,"Houston,TX",2013,1,1,HOU,AAA,NA,31,2,NA,NA,NA,NA,0
Trey McNutt,2011,48,,,,,,1,,,,2,,,,Chicago Cubs,3,P,P,205,R,R,8/2/89,"Haleyville,AL",2009,32,980,CHN,AAA,NA,48,3,NA,NA,NA,NA,0
Tyler Kolek,2015,52,,,,,,1,,,,2,,,,Miami Marlins,1,P,P,260,R,R,12/15/95,"Shepherd,TX",2014,1,2,MIA,A,NA,52,1,NA,NA,NA,NA,0
Brody Colvin,2011,56,,,,,,1,,,,2,,,,Philadelphia Phillies,3,P,P,195,R,R,8/14/90,"Lafayette,LA",2009,7,227,PHI,AA,NA,56,3,NA,NA,NA,NA,0
Jason Knapp,2010,64,,,,,,1,,,,2,,,,Cleveland Indians,4,P,P,225,R,R,8/31/90,"Annandale,NJ",2008,2,71,PHI,A+,NA,64,4,NA,NA,NA,NA,0
Brady Aiken,2016,71,,,,,,1,,,,2,,,,Chicago White Sox,3,P,P,205,L,L,8/16/96,"San Diego,CA",2015,1,17,CLE,A,NA,71,3,4,NA,NA,NA,0
Grant Holmes,2016,72,,,,,,1,,,,2,,,,Los Angeles Dodgers,6,P,P,215,L,R,3/22/96,"Conway,SC",2014,1,22,LAN,AAA,NA,72,6,62,4,NA,NA,0
Chad James,2010,78,,,,,,1,,,,2,,,,Florida Marlins,3,P,P,190,L,L,1/23/91,"Yukon,OK",2009,1,18,MIA,AA,NA,78,3,NA,NA,NA,NA,0
Luis Heredia,2013,78,,,,,,1,,,,2,,,,Pittsburgh Pirates,3,P,P,205,R,R,8/10/94,"Mazatlan,MX",2010,0,0,PIT,AAA,NA,78,3,NA,NA,NA,NA,0
Stetson Allie,2011,79,,,,,,1,,,,2,,,,Pittsburgh Pirates,3,P,P,220,R,R,3/13/91,"Olmsted Falls,OH",2010,2,52,PIT,AAA,NA,79,3,NA,NA,NA,NA,0
Tyler Jay,2016,80,,,,,,1,,,,2,,,,Minnesota Twins,5,P,P,170,L,L,4/19/94,"Lemont,IL",2015,1,6,MIN,AA,NA,80,5,60,4,NA,NA,0
Noel Arguelles,2010,100,,,,,,1,,,,2,,,,Kansas City Royals,---,P,P,220,L,L,1/12/90,"Guira,CU",NA,NA,NA,NA,AA,NA,100,NA,NA,NA,NA,NA,0
Spencer Adams,2015,100,,,,,,1,,,,2,,,,Chicago White Sox,3,P,P,171,R,R,4/13/96,"Cleveland,GA",2014,2,44,CHA,AAA,NA,100,3,NA,NA,NA,NA,0
